Gene_ID,EigenvectoreCentrality,PageRank
113791,6.448194164491355e-06,9.62006875194193e-05
26168,0.0028844788675651024,2.815094967934913e-05
4691,0.07188386571826524,0.0005493723291563578
338692,2.0472279702873574e-05,1.5540112640055574e-05
6358,0.0001160721659997223,2.6983054499765224e-05
8534,1.8346997149162347e-05,2.5807629042528263e-05
9340,0.00013877117541060975,0.00014161406466747236
387101,4.042131434788255e-05,2.6566333758360738e-05
3354,3.745459630139028e-05,2.3281384526505133e-05
3055,0.0024808390058620442,2.0194680998522086e-05
8862,8.860060543065771e-05,0.0003470408746345773
55726,7.451400488968113e-06,5.5200352712908495e-05
28988,0.00021412111666092021,7.041032046811041e-05
820,3.414980342160301e-06,4.066253930950904e-05
54680,0.00014690370698387445,2.0489859829202747e-05
23370,0.00031487813162430037,2.3861544790651286e-05
25833,4.338017970825608e-05,2.4978398277994664e-05
6866,3.360484297780219e-05,6.104550966439633e-05
8480,0.0019224204289268077,0.0002578831656219064
266740,0.00015603037141684626,6.244820874528436e-05
9498,9.592591036571379e-05,2.6678826603999693e-05
4802,0.0016981292091354044,0.00020480947868090716
285135,1.468580011010672e-07,2.2938645130741762e-05
54764,0.0001892721826435553,8.30670296675671e-05
1545,6.116685914839291e-05,0.00010715074667950774
9990,3.674749740197538e-05,3.9319689873133094e-05
5796,0.0004457972596070396,8.733352487558692e-05
92241,1.1118912292234731e-05,1.4143383710465423e-05
113263,5.542747606004794e-06,1.4452402848898432e-05
27352,1.1869670275115236e-05,1.8164868429451456e-05
2981,2.896079408318862e-07,1.5184595927123483e-05
25885,0.044359361584576935,0.00025258693649968364
10068,2.010800359660559e-05,3.074663676952912e-05
3735,0.00040045369625959734,0.0001973103570623412
84285,0.00011708685749665746,5.450855669573701e-05
84787,0.0006015486012728059,3.0239283773241514e-05
10923,0.0014226102259749388,7.103016757045822e-05
127829,0.0002769489701126418,1.4791632444586242e-05
6744,0.0007675014252486031,2.8186956366220755e-05
79072,1.9708739897436378e-05,2.611127766494989e-05
84807,3.9535819455650824e-05,2.5341295466201368e-05
3351,8.069846613870883e-05,4.143145473678316e-05
5923,0.0007262622018448133,2.539858084811949e-05
81611,9.499475484499232e-05,6.829509378638481e-05
5742,6.2064789842662375e-06,2.1107502662141077e-05
5662,5.558654339858309e-06,7.769336529851175e-05
23149,5.36895043645631e-05,6.227577439476498e-05
8784,8.690273424000085e-05,3.164352033966055e-05
632,3.487733653135411e-06,4.196002374947589e-05
23607,0.0007289321329861524,4.305326237759884e-05
2792,0.00017870813743381262,0.00014155850752366092
11016,0.00012056770419187834,0.00010125397945767291
57332,0.003387649716947422,9.147197015128168e-05
440145,9.199708887983537e-06,0.00021597075529342666
57471,0.00010032336936649789,1.4543282234631185e-05
6647,0.0004880751273489474,1.7508472819995832e-05
6227,0.030556474610195904,0.0001725416742756844
2585,7.227679020458707e-08,0.00013705216920467496
9858,5.581178175327167e-05,2.2068197746488447e-05
